equipment_id,equipment_type,manufacturer,model,status,last_maintenance,next_maintenance,operating_hours,efficiency_score,temperature_celsius,vibration_level,alerts,location
EQ001,Excavator,Caterpillar,320D,Operational,2025-01-10,2025-06-10,1200,98.5,75.2,0.5,,Mine A
EQ002,Drill,Komatsu,DH215,Maintenance,2025-02-15,2025-08-15,900,92.0,70.0,0.7,Oil leakage,Mine B
EQ003,Loader,Volvo,L150H,Operational,2025-03-20,2025-09-20,1500,95.5,68.0,0.4,,Mine C
EQ004,Dump Truck,Caterpillar,777G,Critical,2025-01-30,2025-07-30,2000,85.0,80.0,1.2,Engine overheating,Mine A
EQ005,Excavator,Komatsu,PC210,Operational,2025-02-05,2025-08-05,1100,97.0,72.5,0.6,,Mine B
EQ006,Drill,Atlas Copco,DM30,Maintenance,2025-03-12,2025-09-12,950,91.5,69.0,0.8,Hydraulic issue,Mine C
EQ007,Loader,Hitachi,ZW220,Operational,2025-01-18,2025-07-18,1300,96.0,71.0,0.5,,Mine A
EQ008,Dump Truck,Volvo,A40G,Offline,2025-02-25,2025-08-25,1700,0.0,0.0,0.0,Broken wheel,Mine B
EQ009,Excavator,Caterpillar,336F,Operational,2025-03-01,2025-09-01,1250,94.5,73.0,0.6,,Mine C
EQ010,Drill,Komatsu,DH500,Operational,2025-01-22,2025-07-22,1400,95.0,70.5,0.7,,Mine A
EQ011,Loader,Volvo,L180H,Operational,2025-02-14,2025-08-14,1150,93.5,68.5,0.4,,Mine B
EQ012,Dump Truck,Caterpillar,789D,Critical,2025-03-08,2025-09-08,2100,80.0,82.0,1.5,Engine failure,Mine C
EQ013,Excavator,Komatsu,PC300,Maintenance,2025-01-12,2025-07-12,1000,90.0,71.5,0.5,Hydraulic leak,Mine A
EQ014,Drill,Atlas Copco,DM45,Operational,2025-02-20,2025-08-20,1100,94.0,69.5,0.6,,Mine B
EQ015,Loader,Hitachi,ZW250,Operational,2025-03-15,2025-09-15,1350,96.5,72.0,0.4,,Mine C
EQ016,Dump Truck,Volvo,A60H,Operational,2025-01-28,2025-07-28,1800,97.0,74.0,0.5,,Mine A
EQ017,Excavator,Caterpillar,320F,Maintenance,2025-02-07,2025-08-07,1200,92.5,73.5,0.6,Oil leakage,Mine B
EQ018,Drill,Komatsu,DH600,Critical,2025-03-18,2025-09-18,1000,85.0,71.0,1.0,Drill jammed,Mine C
