metric_date,site_name,shift,material_type,quantity_tons,target_tons,efficiency_percentage,downtime_hours,workforce_count,energy_consumption_kwh,cost_per_ton,quality_grade
2025-01-01,Mine A,Day,Coal,5000,5200,96.2,2,150,12500,45.5,A
2025-01-01,Mine B,Night,Iron,4200,4300,97.6,1.5,120,10500,50.0,B
2025-01-01,Mine C,Day,Copper,3100,3200,96.8,2,100,9000,60.0,A
2025-01-02,Mine A,Night,Coal,4800,5000,96.0,1,145,12200,46.0,B
2025-01-02,Mine B,Day,Iron,4300,4400,97.7,1.2,125,10800,51.0,A
2025-01-02,Mine C,Night,Copper,3200,3300,96.9,2.5,110,9100,59.5,B
2025-01-03,Mine A,Day,Coal,5100,5200,98.1,0.5,155,12600,45.0,A
2025-01-03,Mine B,Night,Iron,4250,4300,98.8,0.8,122,10600,50.5,A
2025-01-03,Mine C,Day,Copper,3150,3200,98.4,1,105,9200,60.5,A
2025-01-04,Mine A,Night,Coal,4950,5000,99.0,0.5,148,12300,46.0,A
2025-01-04,Mine B,Day,Iron,4350,4400,98.9,0.7,128,10900,50.2,B
2025-01-04,Mine C,Night,Copper,3250,3300,98.5,1.2,112,9300,59.8,B
2025-01-05,Mine A,Day,Coal,5050,5200,97.1,1.5,150,12550,45.8,A
2025-01-05,Mine B,Night,Iron,4280,4300,97.7,1,124,10700,50.0,A
2025-01-05,Mine C,Day,Copper,3180,3200,99.0,0.8,108,9150,60.2,A
2025-01-06,Mine A,Night,Coal,4900,5000,98.0,0.5,146,12250,46.0,B
2025-01-06,Mine B,Day,Iron,4320,4400,98.2,1,127,10850,50.3,A
2025-01-06,Mine C,Night,Copper,3220,3300,97.6,2,111,9250,59.5,B
2025-01-07,Mine A,Day,Coal,5000,5200,96.2,2,150,12500,45.5,A
2025-01-07,Mine B,Night,Iron,4200,4300,97.6,1.5,120,10500,50.0,B
2025-01-07,Mine C,Day,Copper,3100,3200,96.8,2,100,9000,60.0,A
2025-01-08,Mine A,Night,Coal,4800,5000,96.0,1,145,12200,46.0,B
2025-01-08,Mine B,Day,Iron,4300,4400,97.7,1.2,125,10800,51.0,A
2025-01-08,Mine C,Night,Copper,3200,3300,96.9,2.5,110,9100,59.5,B
2025-01-09,Mine A,Day,Coal,5100,5200,98.1,0.5,155,12600,45.0,A
2025-01-09,Mine B,Night,Iron,4250,4300,98.8,0.8,122,10600,50.5,A
2025-01-09,Mine C,Day,Copper,3150,3200,98.4,1,105,9200,60.5,A
2025-01-10,Mine A,Night,Coal,4950,5000,99.0,0.5,148,12300,46.0,A
2025-01-10,Mine B,Day,Iron,4350,4400,98.9,0.7,128,10900,50.2,B
2025-01-10,Mine C,Night,Copper,3250,3300,98.5,1.2,112,9300,59.8,B
2025-01-11,Mine A,Day,Coal,5050,5200,97.1,1.5,150,12550,45.8,A
2025-01-11,Mine B,Night,Iron,4280,4300,97.7,1,124,10700,50.0,A
2025-01-11,Mine C,Day,Copper,3180,3200,99.0,0.8,108,9150,60.2,A
2025-01-12,Mine A,Night,Coal,4900,5000,98.0,0.5,146,12250,46.0,B
2025-01-12,Mine B,Day,Iron,4320,4400,98.2,1,127,10850,50.3,A
2025-01-12,Mine C,Night,Copper,3220,3300,97.6,2,111,9250,59.5,B
2025-01-13,Mine A,Day,Coal,5000,5200,96.2,2,150,12500,45.5,A
2025-01-13,Mine B,Night,Iron,4200,4300,97.6,1.5,120,10500,50.0,B
2025-01-13,Mine C,Day,Copper,3100,3200,96.8,2,100,9000,60.0,A
2025-01-14,Mine A,Night,Coal,4800,5000,96.0,1,145,12200,46.0,B
2025-01-14,Mine B,Day,Iron,4300,4400,97.7,1.2,125,10800,51.0,A
2025-01-14,Mine C,Night,Copper,3200,3300,96.9,2.5,110,9100,59.5,B
2025-01-15,Mine A,Day,Coal,5100,5200,98.1,0.5,155,12600,45.0,A
2025-01-15,Mine B,Night,Iron,4250,4300,98.8,0.8,122,10600,50.5,A
2025-01-15,Mine C,Day,Copper,3150,3200,98.4,1,105,9200,60.5,A
2025-01-16,Mine A,Night,Coal,4950,5000,99.0,0.5,148,12300,46.0,A
2025-01-16,Mine B,Day,Iron,4350,4400,98.9,0.7,128,10900,50.2,B
2025-01-16,Mine C,Night,Copper,3250,3300,98.5,1.2,112,9300,59.8,B
2025-01-17,Mine A,Day,Coal,5050,5200,97.1,1.5,150,12550,45.8,A
2025-01-17,Mine B,Night,Iron,4280,4300,97.7,1,124,10700,50.0,A
2025-01-17,Mine C,Day,Copper,3180,3200,99.0,0.8,108,9150,60.2,A
2025-01-18,Mine A,Night,Coal,4900,5000,98.0,0.5,146,12250,46.0,B
2025-01-18,Mine B,Day,Iron,4320,4400,98.2,1,127,10850,50.3,A
2025-01-18,Mine C,Night,Copper,3220,3300,97.6,2,111,9250,59.5,B
